시별,코드,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
경북봉화군,4781000,1201 ,1201 ,1201 ,1201 ,1201 ,1201 ,1201 ,1201 ,1201 ,1201 ,1201 ,1201 ,1201 ,1201 ,1201 ,1202 ,1202 
경북울진군,4782000,989 ,989 ,989 ,989 ,989 ,989 ,989 ,989 ,989 ,989 ,989 ,989 ,989 ,989 ,989 ,989 ,990 
경북울릉군,4783000,73 ,73 ,73 ,73 ,73 ,73 ,73 ,73 ,73 ,73 ,73 ,73 ,73 ,73 ,73 ,73 ,73 
경남창원시,4811000,293 ,293 ,293 ,293 ,293 ,293 ,293 ,293 ,293 ,293 ,744 ,745 ,745 ,747 ,747 ,748 ,748 
경남마산시,4812000,329 ,330 ,330 ,330 ,330 ,330 ,330 ,330 ,331 ,331 ,331 ,0 ,0 ,0 ,0 ,0 ,0 
경남진주시,4813000,713 ,713 ,713 ,713 ,713 ,713 ,713 ,713 ,713 ,713 ,713 ,713 ,713 ,713 ,713 ,713 ,713 
경남진해시,4814000,112 ,112 ,112 ,112 ,113 ,113 ,114 ,114 ,120 ,120 ,120 ,0 ,0 ,0 ,0 ,0 ,0 
경남통영시,4815000,237 ,237 ,237 ,237 ,237 ,238 ,238 ,239 ,239 ,239 ,239 ,239 ,239 ,239 ,240 ,240 ,240 
경남사천시,4816000,397 ,397 ,397 ,397 ,397 ,397 ,397 ,398 ,398 ,398 ,398 ,399 ,399 ,399 ,399 ,399 ,399 
경남김해시,4817000,463 ,463 ,463 ,463 ,463 ,463 ,463 ,463 ,463 ,463 ,463 ,463 ,463 ,463 ,463 ,463 ,463 
경남밀양시,4818000,799 ,799 ,799 ,799 ,799 ,799 ,799 ,799 ,799 ,799 ,799 ,799 ,799 ,799 ,799 ,799 ,799 
경남거제시,4819000,400 ,400 ,401 ,401 ,401 ,401 ,402 ,402 ,402 ,402 ,402 ,402 ,402 ,402 ,402 ,402 ,403 
경남양산시,4820000,484 ,484 ,484 ,484 ,484 ,484 ,484 ,484 ,485 ,485 ,485 ,485 ,485 ,485 ,485 ,485 ,485 
경남의령군,4871000,483 ,483 ,483 ,483 ,483 ,483 ,483 ,483 ,483 ,483 ,483 ,483 ,483 ,483 ,483 ,483 ,483 
경남함안군,4872000,417 ,417 ,417 ,417 ,417 ,417 ,417 ,417 ,417 ,417 ,417 ,417 ,417 ,417 ,417 ,417 ,417 
경남창녕군,4873000,533 ,533 ,533 ,533 ,533 ,533 ,533 ,533 ,533 ,533 ,533 ,533 ,533 ,533 ,533 ,533 ,533 
경남고성군,4874000,517 ,517 ,517 ,517 ,517 ,517 ,517 ,517 ,517 ,517 ,517 ,517 ,518 ,518 ,518 ,518 ,518 
경남남해군,4875000,357 ,357 ,358 ,358 ,358 ,358 ,358 ,358 ,358 ,358 ,358 ,358 ,358 ,358 ,358 ,358 ,358 
경남하동군,4876000,675 ,676 ,676 ,676 ,676 ,676 ,675 ,675 ,675 ,675 ,675 ,675 ,675 ,676 ,676 ,676 ,676 
경남산청군,4877000,795 ,795 ,795 ,795 ,795 ,795 ,795 ,795 ,795 ,795 ,795 ,795 ,795 ,795 ,795 ,795 ,795 
경남함양군,4878000,725 ,725 ,725 ,725 ,725 ,725 ,725 ,725 ,725 ,725 ,725 ,725 ,725 ,725 ,725 ,725 ,725 
경남거창군,4879000,804 ,804 ,804 ,804 ,804 ,804 ,804 ,804 ,804 ,804 ,804 ,803 ,803 ,803 ,803 ,803 ,803 
경남합천군,4880000,983 ,983 ,983 ,983 ,983 ,983 ,983 ,983 ,983 ,984 ,984 ,984 ,984 ,984 ,983 ,983 ,983 
