시별,코드,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
대구달성군,2771000,427 ,427 ,427 ,427 ,427 ,427 ,427 ,427 ,427 ,427 ,427 ,427 ,427 ,427 ,427 ,427 ,427 
인천중구,2811000,88 ,103 ,109 ,109 ,111 ,111 ,115 ,115 ,115 ,121 ,123 ,123 ,131 ,131 ,133 ,133 ,140 
인천동구,2812000,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 
인천남구,2813000,24 ,24 ,24 ,24 ,24 ,24 ,24 ,24 ,25 ,25 ,25 ,25 ,25 ,25 ,25 ,25 ,25 
인천연수구,2814000,25 ,25 ,25 ,25 ,30 ,31 ,34 ,34 ,34 ,43 ,43 ,46 ,46 ,46 ,49 ,50 ,55 
인천남동구,2815000,57 ,57 ,57 ,57 ,57 ,57 ,57 ,57 ,57 ,57 ,57 ,57 ,57 ,57 ,57 ,57 ,57 
인천부평구,2816000,32 ,32 ,32 ,32 ,32 ,32 ,32 ,32 ,32 ,32 ,32 ,32 ,32 ,32 ,32 ,32 ,32 
인천계양구,2817000,46 ,46 ,46 ,46 ,46 ,46 ,46 ,46 ,46 ,46 ,46 ,46 ,46 ,46 ,46 ,46 ,46 
인천서구,2818000,111 ,111 ,111 ,111 ,111 ,111 ,112 ,112 ,114 ,114 ,114 ,114 ,114 ,114 ,115 ,115 ,117 
인천강화군,2871000,411 ,411 ,411 ,411 ,411 ,411 ,411 ,411 ,411 ,411 ,411 ,411 ,411 ,411 ,411 ,411 ,411 
인천옹진군,2872000,164 ,164 ,164 ,164 ,164 ,164 ,164 ,169 ,170 ,172 ,172 ,172 ,172 ,172 ,172 ,172 ,172 
광주동구,2911000,49 ,49 ,49 ,49 ,49 ,49 ,49 ,49 ,49 ,49 ,49 ,49 ,49 ,49 ,49 ,49 ,49 
광주서구,2912000,47 ,47 ,47 ,47 ,47 ,47 ,47 ,47 ,47 ,47 ,47 ,48 ,48 ,48 ,48 ,48 ,48 
광주남구,2913000,61 ,61 ,61 ,61 ,61 ,61 ,61 ,61 ,61 ,61 ,61 ,61 ,61 ,61 ,61 ,61 ,61 
광주북구,2914000,122 ,122 ,122 ,122 ,122 ,122 ,122 ,122 ,122 ,122 ,122 ,120 ,120 ,120 ,120 ,120 ,120 
광주광산구,2915000,223 ,223 ,223 ,223 ,223 ,223 ,223 ,223 ,223 ,223 ,223 ,223 ,223 ,223 ,223 ,223 ,223 
