시도명,시군구명,읍면동명,인구사회 부문,산업경제 부문,물리환경 부문,과거대비인구변화(%),최근인구변화(연속감소년수),과거대비사업체변화(%),최근사업체변화(연속감소년수),노후건축물비율(%),부합부문(개수),2개 부문 이상 부합여부
서울특별시,서울특별시 동대문구,전농제2동,O,X,O,10.67,5.00,1.78,1.00,78.42,2,O
서울특별시,서울특별시 동대문구,답십리제2동,O,O,O,-8.90,4.00,-5.64,2.00,77.39,3,O
서울특별시,서울특별시 동대문구,장안제1동,X,X,O,3.14,2.00,1.17,1.00,71.49,1,X
서울특별시,서울특별시 동대문구,장안제2동,X,X,O,0.80,2.00,1.59,0.00,78.91,1,X
서울특별시,서울특별시 동대문구,이문제1동,O,O,O,-4.97,5.00,-5.99,1.00,87.44,3,O
서울특별시,서울특별시 동대문구,이문제2동,O,O,O,-6.35,3.00,-17.72,2.00,84.48,3,O
서울특별시,서울특별시 동대문구,답십리제1동,X,O,O,32.27,2.00,-7.75,1.00,83.71,2,O
서울특별시,서울특별시 중랑구,면목제2동,O,X,O,-24.52,5.00,-0.86,1.00,80.90,2,O
서울특별시,서울특별시 중랑구,면목제4동,O,X,O,-21.90,3.00,-1.89,2.00,80.25,2,O
서울특별시,서울특별시 중랑구,면목제5동,O,X,O,-49.94,5.00,-2.79,1.00,81.70,2,O
서울특별시,서울특별시 중랑구,면목제7동,O,O,O,-23.95,5.00,-10.65,3.00,84.38,3,O
서울특별시,서울특별시 중랑구,상봉제1동,X,X,O,2.29,2.00,5.96,0.00,64.22,1,X
서울특별시,서울특별시 중랑구,상봉제2동,O,X,O,-25.92,3.00,-2.71,2.00,77.77,2,O
서울특별시,서울특별시 중랑구,중화제1동,O,X,O,-40.51,3.00,0.12,1.00,65.88,2,O
서울특별시,서울특별시 중랑구,중화제2동,O,O,O,-7.80,5.00,-2.26,3.00,87.81,3,O
서울특별시,서울특별시 중랑구,묵제1동,O,X,O,-1.74,3.00,3.33,0.00,58.07,2,O
서울특별시,서울특별시 중랑구,묵제2동,O,X,O,-25.30,3.00,2.03,1.00,72.04,2,O
서울특별시,서울특별시 중랑구,망우제3동,O,X,O,-31.04,4.00,-4.34,1.00,76.91,2,O
서울특별시,서울특별시 중랑구,신내1동,X,X,O,30.64,2.00,7.73,0.00,53.18,1,X
서울특별시,서울특별시 중랑구,신내2동,O,X,O,-20.75,5.00,3.11,1.00,72.86,2,O
서울특별시,서울특별시 중랑구,면목본동,X,X,O,-0.63,2.00,1.96,1.00,79.60,1,X
서울특별시,서울특별시 중랑구,면목제3·8동,O,X,O,-3.28,5.00,-2.66,1.00,83.64,2,O
서울특별시,서울특별시 중랑구,망우본동,O,X,O,0.96,4.00,3.92,1.00,76.65,2,O
서울특별시,서울특별시 성북구,돈암제1동,O,X,O,-7.95,3.00,-1.64,1.00,68.44,2,O
서울특별시,서울특별시 성북구,돈암제2동,X,O,X,-2.72,1.00,-5.14,3.00,28.68,1,X
서울특별시,서울특별시 성북구,안암동,O,X,O,-20.22,5.00,3.67,0.00,65.84,2,O
서울특별시,서울특별시 성북구,보문동,O,O,O,-42.27,2.00,-5.03,1.00,78.57,3,O
서울특별시,서울특별시 성북구,정릉제1동,O,X,O,-17.94,5.00,1.63,0.00,73.40,2,O
서울특별시,서울특별시 성북구,정릉제2동,O,X,O,1.72,3.00,-1.10,1.00,73.00,2,O
서울특별시,서울특별시 성북구,정릉제3동,O,O,O,-29.24,5.00,-10.84,2.00,83.90,3,O
서울특별시,서울특별시 성북구,정릉제4동,O,X,O,0.30,3.00,3.65,1.00,61.62,2,O
서울특별시,서울특별시 성북구,길음제1동,X,O,X,8.81,1.00,-8.89,0.00,44.76,1,X
서울특별시,서울특별시 성북구,길음제2동,O,X,O,-43.87,4.00,2.90,0.00,87.78,2,O
서울특별시,서울특별시 성북구,월곡제1동,O,O,O,-1.18,5.00,-4.97,3.00,75.10,3,O
서울특별시,서울특별시 성북구,월곡제2동,O,X,O,-0.98,5.00,-3.77,1.00,77.79,2,O
서울특별시,서울특별시 성북구,장위제1동,O,O,O,-23.00,5.00,-5.81,3.00,87.03,3,O
서울특별시,서울특별시 성북구,장위제2동,O,X,O,-32.08,5.00,-2.35,1.00,91.04,2,O
서울특별시,서울특별시 성북구,장위제3동,O,O,O,-46.22,5.00,-8.56,2.00,92.19,3,O
서울특별시,서울특별시 성북구,성북동,O,X,O,-0.23,5.00,-2.23,1.00,73.86,2,O
서울특별시,서울특별시 성북구,삼선동,O,O,O,6.21,4.00,-5.56,1.00,75.03,3,O
