,시군구명,읍면동명,과거대비인구변화...,최근인구변화.연속감소년수.,과거대비사업체변화...,최근사업체변화.연속감소년수.,노후건축물비율...,부합부문.개수.,X2개.부문.이상.부합여부
107,서울특별시 중랑구,신내2동,-20.75,5,3.11,1,72.86,2,1
108,서울특별시 중랑구,면목본동,-0.63,2,1.96,1,79.6,1,0
109,서울특별시 중랑구,면목제3·8동,-3.28,5,-2.66,1,83.64,2,1
110,서울특별시 중랑구,망우본동,0.96,4,3.92,1,76.65,2,1
111,서울특별시 성북구,돈암제1동,-7.95,3,-1.64,1,68.44,2,1
112,서울특별시 성북구,돈암제2동,-2.72,1,-5.14,3,28.68,1,0
113,서울특별시 성북구,안암동,-20.22,5,3.67,0,65.84,2,1
114,서울특별시 성북구,보문동,-42.27,2,-5.03,1,78.57,3,1
115,서울특별시 성북구,정릉제1동,-17.94,5,1.63,0,73.4,2,1
116,서울특별시 성북구,정릉제2동,1.72,3,-1.1,1,73,2,1
117,서울특별시 성북구,정릉제3동,-29.24,5,-10.84,2,83.9,3,1
118,서울특별시 성북구,정릉제4동,0.3,3,3.65,1,61.62,2,1
119,서울특별시 성북구,길음제1동,8.81,1,-8.89,0,44.76,1,0
120,서울특별시 성북구,길음제2동,-43.87,4,2.9,0,87.78,2,1
121,서울특별시 성북구,월곡제1동,-1.18,5,-4.97,3,75.1,3,1
122,서울특별시 성북구,월곡제2동,-0.98,5,-3.77,1,77.79,2,1
123,서울특별시 성북구,장위제1동,-23,5,-5.81,3,87.03,3,1
124,서울특별시 성북구,장위제2동,-32.08,5,-2.35,1,91.04,2,1
125,서울특별시 성북구,장위제3동,-46.22,5,-8.56,2,92.19,3,1
126,서울특별시 성북구,성북동,-0.23,5,-2.23,1,73.86,2,1
127,서울특별시 성북구,삼선동,6.21,4,-5.56,1,75.03,3,1
128,서울특별시 성북구,동선동,9.94,1,-1.75,1,69.12,1,0
129,서울특별시 성북구,종암동,3.27,5,-3.75,2,68.48,2,1
130,서울특별시 성북구,석관동,-4,5,-5.54,2,82.95,3,1
131,서울특별시 강북구,번제1동,-20.04,4,-3.6,2,78.53,2,1
132,서울특별시 강북구,번제2동,-30.21,5,3.64,2,85.95,2,1
133,서울특별시 강북구,번제3동,-21.29,5,3.48,2,56.79,2,1
134,서울특별시 강북구,수유제1동,-23.47,5,-8.2,3,77.77,3,1
135,서울특별시 강북구,수유제2동,-24.16,5,-8.31,1,75.03,3,1
136,서울특별시 강북구,수유제3동,-18.66,2,-7.11,2,75.78,2,1
137,서울특별시 강북구,삼양동,-5.53,5,-8.01,2,78.75,3,1
138,서울특별시 강북구,미아동,-40.16,2,-2.84,2,80.34,2,1
139,서울특별시 강북구,송중동,-10.28,5,-0.57,1,83.87,2,1
140,서울특별시 강북구,송천동,-4.13,4,-6.36,1,87.55,3,1
141,서울특별시 강북구,삼각산동,4.16,3,-27.62,1,20.05,2,1
142,서울특별시 강북구,우이동,-1.14,2,-8.94,3,72.86,2,1
143,서울특별시 강북구,인수동,2.31,2,-3.76,2,76.99,1,0
144,서울특별시 도봉구,쌍문제1동,-23.18,3,-2.37,1,74.97,2,1
145,서울특별시 도봉구,쌍문제2동,-50.33,3,5.83,1,69.68,2,1
146,서울특별시 도봉구,쌍문제3동,-14.99,5,-3.73,1,74.17,2,1
147,서울특별시 도봉구,쌍문제4동,-19.82,5,-1.66,2,71.23,2,1
148,서울특별시 도봉구,방학제1동,-6.59,2,-0.64,1,73.46,1,0
149,서울특별시 도봉구,방학제2동,-27.42,5,-7.67,2,75.29,3,1
150,서울특별시 도봉구,방학제3동,-5.16,5,-2.15,1,64.8,2,1
151,서울특별시 도봉구,창제1동,-19.4,3,-3.44,2,76.98,2,1
152,서울특별시 도봉구,창제2동,-0.28,4,-0.09,1,64.91,2,1
153,서울특별시 도봉구,창제3동,-21.73,5,-6.02,2,79.89,3,1
154,서울특별시 도봉구,창제4동,-9.37,5,6.36,1,45.83,1,0
155,서울특별시 도봉구,창제5동,-7.09,5,3.08,1,60.36,2,1
156,서울특별시 도봉구,도봉제1동,-26.96,4,-1.42,1,73.09,2,1
157,서울특별시 도봉구,도봉제2동,-13.66,5,5.89,0,78.44,2,1
158,서울특별시 노원구,월계1동,-28.91,3,-0.78,2,70.31,2,1
159,서울특별시 노원구,월계2동,-8.63,5,1.34,1,63.14,2,1
160,서울특별시 노원구,월계3동,-6.91,5,1.12,1,61.76,2,1
161,서울특별시 노원구,공릉2동,-4.34,4,4.29,1,52.08,2,1
162,서울특별시 노원구,하계1동,-14.23,4,-18.59,1,52.37,3,1
163,서울특별시 노원구,하계2동,-15.68,5,-11.07,1,58.5,3,1
164,서울특별시 노원구,중계본동,-7.15,5,-1.92,1,80.71,2,1
165,서울특별시 노원구,중계1동,-10.68,3,0.94,1,59.13,2,1
166,서울특별시 노원구,중계4동,-12.37,2,2.96,1,55.62,1,0
167,서울특별시 노원구,상계1동,-3.62,5,1.29,0,48.5,1,0
168,서울특별시 노원구,상계2동,-4.41,5,9.99,1,71.29,2,1
169,서울특별시 노원구,상계5동,-10.93,3,-4.76,1,79.8,2,1
170,서울특별시 노원구,상계8동,-29.99,5,-6.92,2,88,3,1
171,서울특별시 노원구,상계9동,-26.27,5,-0.9,1,87.39,2,1
172,서울특별시 노원구,상계10동,-29.69,5,-3.79,1,91.94,2,1
173,서울특별시 노원구,상계3·4동,-11.3,5,-12.42,2,86.07,3,1
174,서울특별시 노원구,상계6·7동,-5.19,4,-1.61,1,86.51,2,1
175,서울특별시 노원구,중계2·3동,-6.8,5,-7.78,3,76.09,3,1
176,서울특별시 노원구,공릉1동,-0.92,2,5.68,1,56.44,1,0
177,서울특별시 은평구,녹번동,-17.83,3,-7.01,3,69.24,3,1
178,서울특별시 은평구,불광제1동,14.42,1,-0.21,1,73.31,1,0
179,서울특별시 은평구,갈현제1동,-8.39,4,-3.81,2,78.95,2,1
180,서울특별시 은평구,갈현제2동,9,0,1.55,1,61.92,1,0
181,서울특별시 은평구,구산동,2.87,2,2.33,1,62.01,1,0
182,서울특별시 은평구,대조동,-1.77,0,-0.63,2,73.88,1,0
183,서울특별시 은평구,응암제1동,3.32,1,9.09,1,72.17,1,0
184,서울특별시 은평구,응암제2동,-14.62,3,-22.15,1,82.44,3,1
185,서울특별시 은평구,신사제1동,3.2,1,0.62,2,57.56,1,0
186,서울특별시 은평구,신사제2동,-15.4,4,-5.1,2,81.91,3,1
187,서울특별시 은평구,증산동,-38.99,5,1.92,1,82.59,2,1
188,서울특별시 은평구,수색동,-38.44,5,-19.73,2,85.56,3,1
189,서울특별시 은평구,진관동,40.61,0,-25.77,0,16.18,1,0
190,서울특별시 은평구,불광제2동,-3.82,4,-3.51,2,78.76,2,1
191,서울특별시 은평구,응암제3동,-36.29,5,-2.89,1,80.92,2,1
192,서울특별시 은평구,역촌동,8.26,1,1.38,0,61.64,1,0
193,서울특별시 서대문구,천연동,-5.81,5,4.99,0,74.2,2,1
194,서울특별시 서대문구,홍제제1동,-11.65,4,1.04,0,78.26,2,1
195,서울특별시 서대문구,홍제제3동,-24.19,5,-3.57,1,84.91,2,1
196,서울특별시 서대문구,홍제제2동,-15.9,5,-3.81,1,74.75,2,1
197,서울특별시 서대문구,홍은제1동,-7.83,5,-25.88,3,85.86,3,1
198,서울특별시 서대문구,홍은제2동,0.61,1,-0.55,1,72.39,1,0
199,서울특별시 서대문구,남가좌제1동,-86.79,3,-60.69,5,86.94,3,1
200,서울특별시 서대문구,남가좌제2동,-15.46,5,-5.14,1,80.19,3,1
201,서울특별시 서대문구,북가좌제1동,-13.33,1,-35.71,0,66.89,2,1
202,서울특별시 서대문구,북가좌제2동,-1.73,2,-1.57,1,66.84,1,0
203,서울특별시 서대문구,충현동,-21.49,5,7.26,1,82.18,2,1
204,서울특별시 서대문구,북아현동,-35.03,3,-42.83,2,86.19,3,1
205,서울특별시 서대문구,신촌동,22.21,1,0.74,1,73.78,1,0
206,서울특별시 서대문구,연희동,-7.9,5,2.87,0,76.17,2,1
207,서울특별시 마포구,용강동,2.16,2,7.69,0,61.42,1,0
208,서울특별시 마포구,대흥동,-30.66,2,4.33,0,85.14,2,1
209,서울특별시 마포구,염리동,-56.12,3,-1.26,1,89.94,2,1
210,서울특별시 마포구,신수동,-10.48,4,7.87,1,68.85,2,1
211,서울특별시 마포구,서교동,-6.63,3,9.14,0,64.52,2,1
