,시군구명,읍면동명,과거대비인구변화...,최근인구변화.연속감소년수.,과거대비사업체변화...,최근사업체변화.연속감소년수.,노후건축물비율...,부합부문.개수.,X2개.부문.이상.부합여부
224,경기도 안산시,본오3동,-9.34,4,1.89,0,50.27,2,1
225,경기도 안산시,부곡동,5.83,0,-1.85,1,37.88,0,0
226,경기도 안산시,월피동,-0.96,5,3.31,1,41.44,1,0
227,경기도 안산시,성포동,-20.77,5,-2.5,1,85.38,2,1
228,경기도 안산시,반월동,-37.87,4,4.1,0,44.42,1,0
229,경기도 안산시,안산동,9.33,2,11.81,0,29.45,0,0
230,경기도 안산시,이동,-0.31,1,3.27,1,21.52,0,0
231,경기도 안산시,사3동,-6.48,3,10.34,2,12.18,1,0
232,경기도 안산시,와동,-1.99,3,-2.36,2,49.86,1,0
233,경기도 안산시,고잔1동,-31.87,5,-3.14,1,69.34,2,1
234,경기도 안산시,고잔2동,-18.9,5,3.81,1,62.08,2,1
235,경기도 안산시,원곡본동,6.29,2,14.4,0,35.1,0,0
236,경기도 안산시,원곡1동,-67.16,5,-16.7,2,66.75,3,1
237,경기도 안산시,원곡2동,-6.08,5,-9.62,3,13.16,2,1
238,경기도 안산시,초지동,-5.68,5,7.58,0,32.55,1,0
239,경기도 안산시,선부1동,-37.5,5,4.35,2,87.56,2,1
240,경기도 안산시,선부2동,-23.42,5,0.07,1,62.86,2,1
241,경기도 안산시,선부3동,-13.15,5,3.69,0,58.25,2,1
242,경기도 안산시,대부동,21.92,0,3.3,0,37.84,0,0
243,경기도 안산시,호수동,-1.45,4,4.38,1,0.5,1,0
244,경기도 고양시,주교동,-12.32,5,-7.13,2,65.49,3,1
245,경기도 고양시,원신동,-73.77,0,39.53,1,20.5,1,0
246,경기도 고양시,흥도동,393.88,0,72.37,1,6.75,0,0
247,경기도 고양시,성사1동,-1.26,4,-1.22,1,65.59,2,1
248,경기도 고양시,성사2동,-20.06,5,-0.27,1,43.71,1,0
249,경기도 고양시,효자동,-77.85,4,-64.78,2,40.26,2,1
250,경기도 고양시,신도동,-54.26,0,7.04,0,49.81,1,0
251,경기도 고양시,창릉동,29.18,0,18.7,0,25.05,0,0
252,경기도 고양시,고양동,0.83,4,6.71,0,35.6,1,0
253,경기도 고양시,관산동,25.45,0,3.84,1,24.37,0,0
254,경기도 고양시,능곡동,-4.82,4,10.24,1,40,1,0
255,경기도 고양시,화정1동,-12.5,5,3.82,0,55.73,2,1
256,경기도 고양시,화정2동,-8.77,5,-0.66,1,43.7,1,0
257,경기도 고양시,행주동,-12.09,5,1.08,1,58.93,2,1
258,경기도 고양시,행신1동,-63.59,5,-0.4,1,64.08,2,1
259,경기도 고양시,행신2동,-14.92,5,3.92,1,52.25,2,1
260,경기도 고양시,화전동,-80.37,2,-41.21,3,20.37,2,1
261,경기도 고양시,대덕동,-31.71,4,23.71,0,13.03,1,0
262,경기도 고양시,행신3동,-5.29,5,-2.02,1,20.22,1,0
263,경기도 고양시,식사동,236.35,0,14.57,0,18.7,0,0
264,경기도 고양시,중산동,-0.82,4,4.63,0,34.67,1,0
265,경기도 고양시,정발산동,-10.24,5,0.61,2,43.37,1,0
266,경기도 고양시,풍산동,0.86,2,10.35,1,15.55,0,0
267,경기도 고양시,백석1동,-5.34,4,16.94,0,59.52,2,1
268,경기도 고양시,마두1동,-11.33,5,-0.65,1,50.39,2,1
269,경기도 고양시,마두2동,-48.42,5,7.89,0,87.16,2,1
270,경기도 고양시,장항1동,-33.94,3,17.77,1,33.89,1,0
271,경기도 고양시,장항2동,-6.41,1,8.95,0,27.85,0,0
272,경기도 고양시,고봉동,30.27,0,13.77,0,7.45,0,0
273,경기도 고양시,백석2동,-4.72,3,11.6,0,51.81,2,1
274,경기도 고양시,일산1동,-46.83,1,1.58,1,37.43,1,0
275,경기도 고양시,일산2동,-45.28,4,0.55,1,53.84,2,1
276,경기도 고양시,일산3동,-14.83,5,0.39,1,85.82,2,1
277,경기도 고양시,탄현동,14.22,1,7.6,0,27.12,0,0
278,경기도 고양시,주엽1동,-28.67,5,-4.38,2,88.68,2,1
279,경기도 고양시,주엽2동,-28.22,5,2.97,0,79.57,2,1
280,경기도 고양시,대화동,-9.35,3,7.02,0,38.68,1,0
281,경기도 고양시,송포동,-2.87,4,4.61,0,17.79,1,0
282,경기도 고양시,송산동,54.67,0,6.68,0,13.07,0,0
283,경기도 과천시,중앙동,-13.22,5,-0.88,1,74.75,2,1
284,경기도 과천시,갈현동,-11.45,3,1.02,0,30.84,1,0
285,경기도 과천시,별양동,-15.82,5,-10.86,3,82.93,3,1
286,경기도 과천시,부림동,-17.8,5,-5.33,3,94.44,3,1
287,경기도 과천시,과천동,0.91,0,7.19,0,28.48,0,0
288,경기도 과천시,문원동,-9.29,1,3.75,2,59.64,1,0
289,경기도 구리시,갈매동,-77.98,4,-21.59,3,37.81,2,1
290,경기도 구리시,동구동,-2.44,5,10.84,0,36.88,1,0
291,경기도 구리시,인창동,-3.62,3,3.67,0,67,2,1
292,경기도 구리시,교문1동,-13.3,5,1.72,0,69.27,2,1
293,경기도 구리시,교문2동,-8.52,5,2.76,1,86.08,2,1
294,경기도 구리시,수택1동,-9.89,5,0.6,0,83.62,2,1
295,경기도 구리시,수택2동,-5.48,3,-5.38,3,85.2,3,1
296,경기도 구리시,수택3동,-7.49,3,4.21,0,17.51,1,0
297,경기도 남양주시,와부읍,-1.15,5,4.39,1,35.03,1,0
