시도명,시군구명,읍면동명,인구사회 부문,산업경제 부문,물리환경 부문,과거대비인구변화(%),최근인구변화(연속감소년수),과거대비사업체변화(%),최근사업체변화(연속감소년수),노후건축물비율(%),부합부문(개수),2개 부문 이상 부합여부
경기도,경기도 안양시,갈산동,O,X,X,-10.48,3.00,3.34,1.00,49.15,1,X
경기도,경기도 부천시,심곡1동,O,O,O,-60.76,2.00,-5.30,1.00,74.98,3,O
경기도,경기도 부천시,심곡2동,X,X,O,-5.60,1.00,0.29,2.00,67.58,1,X
경기도,경기도 부천시,심곡3동,O,O,O,-65.82,5.00,-15.47,2.00,80.66,3,O
경기도,경기도 부천시,원미1동,O,X,O,-19.51,3.00,-1.64,2.00,78.57,2,O
경기도,경기도 부천시,원미2동,O,O,O,-36.80,5.00,-13.59,3.00,86.01,3,O
경기도,경기도 부천시,소사동,O,O,O,-30.23,4.00,-10.18,3.00,78.49,3,O
경기도,경기도 부천시,역곡1동,X,X,X,-5.20,2.00,1.19,0.00,48.94,0,X
경기도,경기도 부천시,역곡2동,X,X,X,-0.09,1.00,4.40,1.00,45.27,0,X
경기도,경기도 부천시,춘의동,O,X,O,-32.92,4.00,-0.70,1.00,66.56,2,O
경기도,경기도 부천시,도당동,O,X,O,-13.95,5.00,1.13,1.00,66.70,2,O
경기도,경기도 부천시,약대동,X,O,O,-7.40,0.00,-17.44,0.00,58.82,2,O
경기도,경기도 부천시,중동,O,O,O,-25.66,3.00,-4.28,3.00,80.50,3,O
경기도,경기도 부천시,중1동,O,X,X,-11.83,3.00,14.72,0.00,42.82,1,X
경기도,경기도 부천시,중2동,X,X,O,-0.32,1.00,7.09,0.00,73.00,1,X
경기도,경기도 부천시,중3동,O,X,O,-32.44,3.00,-0.35,1.00,55.91,2,O
경기도,경기도 부천시,중4동,O,X,O,-21.10,4.00,1.75,0.00,80.80,2,O
경기도,경기도 부천시,상동,X,O,O,-16.64,2.00,-21.56,3.00,78.98,2,O
경기도,경기도 부천시,상1동,O,X,O,-19.71,5.00,-2.15,1.00,81.37,2,O
경기도,경기도 부천시,상2동,O,X,X,-3.10,5.00,2.44,0.00,0.00,1,X
경기도,경기도 부천시,상3동,O,X,X,-4.57,5.00,6.52,0.00,0.00,1,X
경기도,경기도 부천시,심곡본1동,X,O,O,-19.63,2.00,-8.08,4.00,78.28,2,O
경기도,경기도 부천시,심곡본동,O,X,O,-20.64,4.00,-4.64,1.00,82.12,2,O
경기도,경기도 부천시,소사본3동,O,X,O,-5.31,5.00,-4.29,2.00,84.21,2,O
경기도,경기도 부천시,범박동,X,O,X,6.22,1.00,-13.58,1.00,39.73,1,X
경기도,경기도 부천시,괴안동,O,X,O,-34.77,4.00,-1.27,2.00,65.77,2,O
경기도,경기도 부천시,역곡3동,O,X,O,-8.47,4.00,-1.37,1.00,53.37,2,O
경기도,경기도 부천시,송내1동,O,X,O,-3.96,5.00,-0.51,1.00,60.37,2,O
경기도,경기도 부천시,송내2동,O,O,O,-2.97,4.00,-12.26,1.00,69.02,3,O
경기도,경기도 부천시,소사본동,X,O,O,0.00,2.00,-16.14,2.00,80.25,2,O
경기도,경기도 부천시,성곡동,O,X,O,-2.61,5.00,4.01,1.00,55.58,2,O
경기도,경기도 부천시,원종1동,O,X,O,-14.99,4.00,-1.30,2.00,68.45,2,O
경기도,경기도 부천시,원종2동,O,O,O,-12.20,5.00,-14.82,3.00,77.03,3,O
경기도,경기도 부천시,고강본동,O,X,O,-35.86,5.00,0.00,0.00,74.89,2,O
경기도,경기도 부천시,고강1동,O,O,O,-13.47,4.00,-5.34,1.00,68.37,3,O
경기도,경기도 부천시,오정동,X,X,O,0.50,1.00,6.89,0.00,53.22,1,X
경기도,경기도 부천시,신흥동,O,X,O,-25.06,4.00,4.02,0.00,65.30,2,O
경기도,경기도 광명시,광명1동,O,X,O,-20.41,5.00,-3.97,1.00,84.06,2,O
경기도,경기도 광명시,광명2동,O,O,O,-24.77,5.00,-14.12,2.00,83.01,3,O
경기도,경기도 광명시,광명3동,O,O,O,-30.24,5.00,-5.65,3.00,85.64,3,O
경기도,경기도 광명시,광명4동,O,X,O,-17.63,5.00,-4.84,2.00,77.60,2,O
경기도,경기도 광명시,광명5동,O,X,O,-26.80,5.00,-3.51,1.00,74.41,2,O
경기도,경기도 광명시,광명6동,X,X,O,-18.56,2.00,1.67,0.00,65.01,1,X
경기도,경기도 광명시,광명7동,O,X,O,-15.81,5.00,1.11,1.00,76.41,2,O
경기도,경기도 광명시,철산1동,O,X,O,-5.42,5.00,-0.59,1.00,67.89,2,O
경기도,경기도 광명시,철산2동,O,X,O,-37.43,5.00,-2.72,1.00,93.69,2,O
경기도,경기도 광명시,철산3동,O,X,O,-8.45,4.00,0.52,1.00,76.95,2,O
경기도,경기도 광명시,철산4동,O,X,O,-18.20,5.00,0.67,1.00,81.58,2,O
경기도,경기도 광명시,하안1동,O,X,O,-10.49,3.00,3.44,0.00,62.96,2,O
경기도,경기도 광명시,하안2동,O,X,O,-71.37,5.00,0.47,2.00,97.26,2,O
경기도,경기도 광명시,하안3동,O,X,O,-25.63,5.00,-2.60,2.00,86.47,2,O
경기도,경기도 광명시,하안4동,O,O,O,-17.24,5.00,-6.96,2.00,94.37,3,O
경기도,경기도 광명시,소하1동,X,X,X,24.71,1.00,2.64,0.00,34.19,0,X
경기도,경기도 광명시,소하2동,X,X,O,37.93,1.00,30.69,1.00,63.00,1,X
경기도,경기도 광명시,학온동,O,X,X,-55.11,5.00,16.58,1.00,32.51,1,X
경기도,경기도 평택시,팽성읍,O,X,X,-15.08,3.00,-3.01,1.00,30.62,1,X
경기도,경기도 평택시,안중읍,X,X,X,3.45,1.00,5.55,0.00,29.31,0,X
경기도,경기도 평택시,포승읍,X,X,X,8.47,2.00,10.64,0.00,18.64,0,X
경기도,경기도 평택시,진위면,O,X,X,-18.03,5.00,20.34,0.00,31.99,1,X
경기도,경기도 평택시,서탄면,O,X,X,-44.60,2.00,16.20,0.00,21.11,1,X
경기도,경기도 평택시,고덕면,O,O,X,-20.76,5.00,-27.32,3.00,30.52,2,O
경기도,경기도 평택시,오성면,O,X,X,-56.75,0.00,23.73,1.00,23.96,1,X
경기도,경기도 평택시,청북면,X,X,X,113.65,0.00,29.60,1.00,12.97,0,X
경기도,경기도 평택시,현덕면,O,X,X,-49.38,5.00,0.59,2.00,28.71,1,X
경기도,경기도 평택시,중앙동,X,O,X,-4.80,2.00,-6.79,3.00,38.17,1,X
경기도,경기도 평택시,서정동,O,O,O,-12.83,5.00,-6.76,2.00,72.26,3,O
경기도,경기도 평택시,송탄동,X,X,X,75.05,1.00,14.87,0.00,27.42,0,X
경기도,경기도 평택시,지산동,X,O,O,-10.82,0.00,-26.83,1.00,65.38,2,O
경기도,경기도 평택시,송북동,X,X,X,-1.55,1.00,-3.69,1.00,46.61,0,X
경기도,경기도 평택시,신장1동,O,O,O,-34.06,1.00,-20.41,2.00,60.58,3,O
경기도,경기도 평택시,신장2동,O,O,O,-55.44,5.00,-36.54,3.00,83.33,3,O
경기도,경기도 평택시,신평동,X,X,O,9.19,1.00,0.94,1.00,53.32,1,X
경기도,경기도 평택시,원평동,O,X,X,-15.67,3.00,0.15,1.00,46.99,1,X
경기도,경기도 평택시,통복동,O,O,O,-49.03,5.00,-21.77,2.00,79.43,3,O
경기도,경기도 평택시,비전1동,X,X,X,86.78,0.00,1.31,1.00,26.06,0,X
경기도,경기도 평택시,비전2동,X,X,O,15.37,1.00,1.16,0.00,50.76,1,X
경기도,경기도 평택시,세교동,O,O,X,-12.89,5.00,-5.59,1.00,44.31,2,O
경기도,경기도 동두천시,생연1동,X,O,O,-15.06,2.00,-15.53,5.00,74.76,2,O
경기도,경기도 동두천시,생연2동,O,O,O,-5.57,5.00,-11.19,3.00,73.20,3,O
경기도,경기도 동두천시,중앙동,O,O,O,-34.29,5.00,-23.04,3.00,79.97,3,O
경기도,경기도 동두천시,보산동,O,O,O,-49.59,2.00,-17.43,5.00,75.87,3,O
경기도,경기도 동두천시,불현동,O,X,O,-32.00,0.00,4.68,1.00,55.99,2,O
