회계연도, 지역명, 자치단체코드, 자치단체명, 분야코드, 분야명, 부문코드, 부문명, 정책사업예산총계, 행정운영경비총계, 재무활동총계, 정책사업예산순계, 재무활동순계, 행정운영경비순계,
2015, 세종, 3200000, 세종본청, 110, 산업ㆍ중소기업, 114, 산업진흥ㆍ고도화, 3970914000, 0, 0, 3970914000, 0, 0,
2015, 세종, 3200000, 세종본청, 110, 산업ㆍ중소기업, 115, 에너지및자원개발, 2738900000, 0, 0, 2738900000, 0, 0,
2015, 세종, 3200000, 세종본청, 110, 산업ㆍ중소기업, 116, 산업ㆍ중소기업일반, 0, 0, 0, 0, 0, 0,
2015, 세종, 3200000, 세종본청, 120, 수송및교통, 121, 도로, 17955388000, 0, 0, 17955388000, 0, 0,
2015, 세종, 3200000, 세종본청, 120, 수송및교통, 126, 대중교통ㆍ물류등기타, 19924160000, 117900000, 0, 19924160000, 0, 0,
2015, 세종, 3200000, 세종본청, 140, 국토및지역개발, 141, 수자원, 33356638000, 0, 0, 33356638000, 0, 0,
2015, 세종, 3200000, 세종본청, 140, 국토및지역개발, 142, 지역및도시, 48063955000, 10800000000, 0, 48063955000, 0, 0,
2015, 세종, 3200000, 세종본청, 140, 국토및지역개발, 143, 산업단지, 1680000000, 0, 0, 1680000000, 0, 0,
2015, 세종, 3200000, 세종본청, 150, 과학기술, 153, 과학기술일반, 159180000, 0, 0, 159180000, 0, 0,
2015, 세종, 3200000, 세종본청, 160, 예비비, 161, 예비비, 12747811000, 0, 0, 12747811000, 0, 0,
2015, 세종, 3200000, 세종본청, 900, 기타, 901, 기타, 0, 0, 96008683000, 0, 0, 96008683000,
2015, 세종, 3200000, 세종본청, 080, 사회복지, 081, 기초생활보장, 17058942000, 0, 0, 17058942000, 0, 0,
2015, 세종, 3200000, 세종본청, 110, 산업ㆍ중소기업, 115, 에너지및자원개발, 140200000, 0, 0, 140200000, 0, 0,
2015, 세종, 3200000, 세종본청, 120, 수송및교통, 126, 대중교통ㆍ물류등기타, 262671000, 0, 0, 262671000, 0, 0,
2015, 세종, 3200000, 세종본청, 140, 국토및지역개발, 141, 수자원, 0, 0, 0, 0, 0, 0,
2015, 세종, 3200000, 세종본청, 140, 국토및지역개발, 142, 지역및도시, 53750710000, 0, 0, 53750710000, 0, 0,
2015, 세종, 3200000, 세종본청, 900, 기타, 901, 기타, 0, 0, 409771000, 0, 0, 409771000,
2015, 세종, 3200000, 세종본청, 010, 일반공공행정, 013, 지방행정ㆍ재정지원, 18775186000, 0, 0, 8775186000, 0, 0,
2015, 세종, 3200000, 세종본청, 070, 환경보호, 071, 상하수도ㆍ수질, 76682323000, 0, 0, 76682323000, 0, 0,
2015, 세종, 3200000, 세종본청, 110, 산업ㆍ중소기업, 116, 산업ㆍ중소기업일반, 0, 0, 0, 0, 0, 0,
2015, 세종, 3200000, 세종본청, 140, 국토및지역개발, 143, 산업단지, 52729501000, 0, 0, 51332001000, 0, 0,
2015, 세종, 3200000, 세종본청, 160, 예비비, 161, 예비비, 204211000, 0, 0, 204211000, 0, 0,
2015, 세종, 3200000, 세종본청, 900, 기타, 901, 기타, 0, 0, 1986485000, 0, 0, 1986485000,

