name,population,population_year,business,business_year,old_building,pass
경기도 양주시 양주1동,-20.96,5,7.19,3,56.87,3
경기도 양주시 회천2동,1.02,4,-7.54,2,52.38,3
경기도 포천시 군내면,-17.28,4,3.75,3,32.66,2
경기도 포천시 일동면,-10.05,3,1.8,1,50.27,2
경기도 포천시 이동면,-22.83,1,-7.98,2,56.68,3
경기도 포천시 영북면,-38.52,2,-7.34,2,51.02,3
경기도 포천시 관인면,-55.79,5,-32.08,4,56.75,3
경기도 포천시 포천동,-0.43,4,-7.01,3,51.08,3
경기도 여주시 능서면,-29.52,3,9.32,3,23.17,2
경기도 연천군 연천읍,-48.44,1,-2.5,1,51.35,2
경기도 연천군 전곡읍,-4.02,3,-0.17,1,55.06,2
경기도 연천군 군남면,-54.74,1,2.62,0,57.72,2
경기도 연천군 청산면,-46.32,3,7.65,1,55.81,2
경기도 연천군 백학면,-51.23,3,-6.7,1,49.86,2
경기도 연천군 왕징면,-54.71,4,3.85,1,56.31,2
경기도 연천군 신서면,-60.02,3,-21.4,2,61.28,3
경기도 연천군 장남면,-44.97,0,12,1,52.01,2
경기도 양평군 단월면,-23.09,0,-1.75,3,25.3,2
경기도 양평군 양동면,-45.42,1,-5.51,1,51.17,3
