name,population,population_year,business,business_year,old_building,pass
서울특별시 노원구 공릉2동,-4.340103644,4,4.289940828,1,52.08186309,2
서울특별시 노원구 하계1동,-14.23109093,4,-18.59039837,1,52.37113402,3
서울특별시 노원구 하계2동,-15.67815931,5,-11.06719368,1,58.50340136,3
서울특별시 노원구 중계본동,-7.149261967,5,-1.923076923,1,80.7082945,2
서울특별시 노원구 중계1동,-10.6771079,3,0.942126514,1,59.13461538,2
서울특별시 노원구 중계4동,-12.36901499,2,2.959309494,1,55.61643836,1
서울특별시 노원구 상계1동,-3.617625654,5,1.291638341,0,48.49906191,1
서울특별시 노원구 상계2동,-4.40688604,5,9.99070632,1,71.28712871,2
서울특별시 노원구 상계5동,-10.92635715,3,-4.761904762,1,79.80456026,2
서울특별시 노원구 상계8동,-29.99279219,5,-6.919642857,2,88,3
서울특별시 노원구 상계9동,-26.27047864,5,-0.896860987,1,87.39495798,2
서울특별시 노원구 상계10동,-29.6890672,5,-3.785488959,1,91.93548387,2
서울특별시 노원구 상계3·4동,-11.30138808,5,-12.42236025,2,86.0671311,3
서울특별시 노원구 상계6·7동,-5.187815569,4,-1.611940299,1,86.51026393,2
서울특별시 노원구 중계2·3동,-6.796931192,5,-7.784986098,3,76.08695652,3
서울특별시 노원구 공릉1동,-0.918088126,2,5.684007707,1,56.44314869,1
서울특별시 은평구 녹번동,-17.83098284,3,-7.014028056,3,69.24460432,3
서울특별시 은평구 불광제1동,14.42164393,1,-0.211565585,1,73.30811265,1
서울특별시 은평구 갈현제1동,-8.394658979,4,-3.808073115,2,78.94521668,2
서울특별시 은평구 갈현제2동,9.001379522,0,1.545253863,1,61.91599811,1
서울특별시 은평구 구산동,2.869413075,2,2.328431373,1,62.00735681,1
서울특별시 은평구 대조동,-1.76625687,0,-0.633178556,2,73.87669801,1
서울특별시 은평구 응암제1동,3.320553426,1,9.090909091,1,72.17140106,1
서울특별시 은평구 응암제2동,-14.6210213,3,-22.15025907,1,82.44028405,3
서울특별시 은평구 신사제1동,3.200950702,1,0.621761658,2,57.5619296,1
